Country,LandArea,NatAmenity,College 1970,College 1980,College 1990,College 2000,Jobs 1970,Jobs 1980,Jobs 1990,Jobs 2000
Autauga,599,4,0.054,0.121,0.145,0.18,6853,11278,11471,16289
Baidwin,1578,4,0.055,0.121,0.168,0.231,19749,27861,40809,70247
Barbour,891,4,0.073,0.092,0.118,0.109,9448,9755,12163,15197
Bibb,625,3,0.042,0.049,0.047,0.071,3965,4276,5564,6098
Blount,639,4,0.027,0.053,0.07,0.096,7587,9490,11811,16503
